img_file,img_nfi,d0,d1,d2,d3,d4,soft_label
cone_luz_sem_grafeno_n2_(11.6964_+_0.1i).jpg,0.1,0.9466666666666667,0.02,0.013333333333333334,0.013333333333333334,0.006666666666666667,0
cone_luz_sem_grafeno_n2_(11.6964_+_0.2i).jpg,0.2,0.8278145695364238,0.006622516556291391,0.033112582781456956,0.026490066225165563,0.10596026490066225,0
cone_luz_sem_grafeno_n2_(11.6964_+_0.3i).jpg,0.3,0.8211920529801324,0.026490066225165563,0.026490066225165563,0.013245033112582781,0.11258278145695365,0
cone_luz_sem_grafeno_n2_(11.6964_+_0.4i).jpg,0.4,0.8609271523178808,0.013245033112582781,0.026490066225165563,0.006622516556291391,0.09271523178807947,0
cone_luz_sem_grafeno_n2_(11.6964_+_0.5i).jpg,0.5,0.8410596026490066,0.0,0.07947019867549669,0.006622516556291391,0.0728476821192053,0
cone_luz_sem_grafeno_n2_(11.6964_+_0.6i).jpg,0.6,0.8145695364238411,0.013245033112582781,0.0728476821192053,0.013245033112582781,0.08609271523178808,0
cone_luz_sem_grafeno_n2_(11.6964_+_0.7i).jpg,0.7,0.8211920529801324,0.013245033112582781,0.033112582781456956,0.019867549668874173,0.11258278145695365,0
cone_luz_sem_grafeno_n2_(11.6964_+_0.8i).jpg,0.8,0.8543046357615894,0.013245033112582781,0.019867549668874173,0.006622516556291391,0.10596026490066225,0
cone_luz_sem_grafeno_n2_(11.6964_+_0.9i).jpg,0.9,0.46357615894039733,0.3708609271523179,0.033112582781456956,0.006622516556291391,0.12582781456953643,0
cone_luz_sem_grafeno_n2_(11.6964_+_1.1i).jpg,1.1,0.36423841059602646,0.45695364238410596,0.019867549668874173,0.006622516556291391,0.152317880794702,1
cone_luz_sem_grafeno_n2_(11.6964_+_1.2i).jpg,1.2,0.2980132450331126,0.5033112582781457,0.033112582781456956,0.019867549668874173,0.1456953642384106,1
cone_luz_sem_grafeno_n2_(11.6964_+_1.3i).jpg,1.3,0.2582781456953642,0.5695364238410596,0.019867549668874173,0.006622516556291391,0.1456953642384106,1
cone_luz_sem_grafeno_n2_(11.6964_+_1.4i).jpg,1.4,0.23178807947019867,0.5827814569536424,0.026490066225165563,0.0,0.15894039735099338,1
cone_luz_sem_grafeno_n2_(11.6964_+_1.5i).jpg,1.5,0.15894039735099338,0.6158940397350994,0.052980132450331126,0.006622516556291391,0.16556291390728478,1
cone_luz_sem_grafeno_n2_(11.6964_+_1.6i).jpg,1.6,0.1456953642384106,0.6225165562913907,0.033112582781456956,0.013245033112582781,0.18543046357615894,1
cone_luz_sem_grafeno_n2_(11.6964_+_1.7i).jpg,1.7,0.1390728476821192,0.6291390728476821,0.039735099337748346,0.026490066225165563,0.16556291390728478,1
cone_luz_sem_grafeno_n2_(11.6964_+_1.8i).jpg,1.8,0.1456953642384106,0.6291390728476821,0.059602649006622516,0.013245033112582781,0.152317880794702,1
cone_luz_sem_grafeno_n2_(11.6964_+_1.9i).jpg,1.9,0.15894039735099338,0.6225165562913907,0.039735099337748346,0.006622516556291391,0.17218543046357615,1
cone_luz_sem_grafeno_n2_(11.6964_+_10.1i).jpg,10.1,0.15894039735099338,0.6158940397350994,0.033112582781456956,0.0,0.19205298013245034,1
cone_luz_sem_grafeno_n2_(11.6964_+_10.2i).jpg,10.2,0.0472972972972973,0.0945945945945946,0.5337837837837838,0.19594594594594594,0.12837837837837837,2
cone_luz_sem_grafeno_n2_(11.6964_+_10.3i).jpg,10.3,0.08163265306122448,0.09523809523809523,0.5238095238095238,0.19727891156462585,0.10204081632653061,2
cone_luz_sem_grafeno_n2_(11.6964_+_10.4i).jpg,10.4,0.07586206896551724,0.08275862068965517,0.5310344827586206,0.20689655172413793,0.10344827586206896,2
